Date Id;Destination Number;Exit Name;Fifteen Min Bucket;Flow Execution Finished Time;Flow Execution Started Time;Flow Id;Flow Name;Interaction Id;Origin Number;Skpi Dttm Create;Step Execution Order;Step Name;Thirty Min Bucket;Component Title;Time In Step
20231205;3,91E+12;1;12:00-12:15;12/05/2023 12:15;12/05/2023 12:14;d73fe81c6c8b4c9db7743004fdeb3da0;Survey;006c8fd6d0d54463bef1fdb90755eeff;3,94E+11;12/05/2023 11:45;19;IT Question 1 - contenuti;12:00-12:30;Standard IVR;7390
20231205;3,91E+12;room_finished;12:15-12:30;12/05/2023 12:15;12/05/2023 12:15;d73fe81c6c8b4c9db7743004fdeb3da0;Survey;006c8fd6d0d54463bef1fdb90755eeff;3,94E+11;12/05/2023 11:45;20;IT Question 2 - competenza;12:00-12:30;Standard IVR;764
20231214;3,91E+12;1;17:30-17:45;12/14/2023 5:37:54 PM;12/14/2023 5:37:39 PM;d73fe81c6c8b4c9db7743004fdeb3da0;Survey;00dab89b1e7644339d8e09c9fce8d190;3,91E+11;12/14/2023 4:48:06 PM;21;IT Question 3 - cortesia;17:30-18:00;Standard IVR;7437
20231214;3,91E+12;2;17:30-17:45;12/14/2023 5:37:54 PM;12/14/2023 5:37:37 PM;d73fe81c6c8b4c9db7743004fdeb3da0;Survey;00dab89b1e7644339d8e09c9fce8d190;3,91E+11;12/14/2023 4:48:06 PM;20;IT Question 2 - competenza;17:30-18:00;Standard IVR;1489
20231214;3,91E+12;timeout;17:30-17:45;12/14/2023 5:37:54 PM;12/14/2023 5:37:26 PM;d73fe81c6c8b4c9db7743004fdeb3da0;Survey;00dab89b1e7644339d8e09c9fce8d190;3,91E+11;12/14/2023 4:48:06 PM;19;IT Question 1 - contenuti;17:30-18:00;Standard IVR;11457
20231206;3,91E+12;1;18:15-18:30;12/06/2023 18:17;12/06/2023 18:16;d73fe81c6c8b4c9db7743004fdeb3da0;Survey;01c01647382b436a9ec550225c6c8cc3;3,94E+11;12/06/2023 17:46;19;IT Question 1 - contenuti;18:00-18:30;Standard IVR;8865
20231206;3,91E+12;1;18:15-18:30;12/06/2023 18:17;12/06/2023 18:17;d73fe81c6c8b4c9db7743004fdeb3da0;Survey;01c01647382b436a9ec550225c6c8cc3;3,94E+11;12/06/2023 17:46;20;IT Question 2 - competenza;18:00-18:30;Standard IVR;6529
20231206;3,91E+12;1;18:15-18:30;12/06/2023 18:17;12/06/2023 18:17;d73fe81c6c8b4c9db7743004fdeb3da0;Survey;01c01647382b436a9ec550225c6c8cc3;3,94E+11;12/06/2023 17:46;21;IT Question 3 - cortesia;18:00-18:30;Standard IVR;5421
20231117;3,91E+12;1;16:15-16:30;11/17/2023 4:15:42 PM;11/17/2023 4:15:12 PM;d73fe81c6c8b4c9db7743004fdeb3da0;Survey;025124fc970f48ad937e6490788caecf;3,94E+11;11/17/2023 3:45:46 PM;19;IT Question 1 - contenuti;16:00-16:30;Standard IVR;7645
20231117;3,91E+12;1;16:15-16:30;11/17/2023 4:15:42 PM;11/17/2023 4:15:20 PM;d73fe81c6c8b4c9db7743004fdeb3da0;Survey;025124fc970f48ad937e6490788caecf;3,94E+11;11/17/2023 3:45:46 PM;20;IT Question 2 - competenza;16:00-16:30;Standard IVR;8431
